SN z vsi vsi_err salt2c salt2c_err salt2_x1 salt2_x1_err t0 t0_err mB mB_err hostM hostM_err
2008gp 0.033 -9.79 0.22 -0.115 0.022 -0.14 0.03 54779.27 0.03 16.14 0.03 10.89 0.12
2008hj 0.038 -12.79 0.23 -0.044 0.022 0.19 0.04 54801.88 0.04 16.51 0.02 10.43 0.12
2008hu 0.05 -12.34 0.71 -0.017 0.024 -1.74 0.06 54806.29 0.13 17.6 0.03 11.42 0.16
2008hv 0.013 -10.93 0.23 -0.074 0.022 -1.22 0.03 54817.02 0.03 14.48 0.02 10.8 0.17
2008ia 0.022 -11.18 0.22 -0.064 0.025 -1.24 0.04 54812.97 0.07 15.64 0.04 11.0 0.16
2008R 0.013 -9.82 0.22 0.044 0.023 -2.3 0.05 54494.07 0.08 14.98 0.03 11.11 0.16
2009aa 0.027 -10.55 0.22 -0.047 0.021 -0.78 0.03 54878.44 0.03 16.04 0.02 - -
2009ab 0.011 -10.56 0.22 -0.011 0.024 -0.99 0.05 54883.38 0.04 14.44 0.04 10.62 0.16
2009ad 0.028 -10.39 0.22 -0.035 0.022 0.19 0.03 54886.61 0.03 15.91 0.03 10.79 0.2
2009ag 0.009 -10.26 0.29 0.087 0.024 -0.22 0.03 54889.65 0.06 14.26 0.05 10.59 0.16
2009D 0.025 -9.96 0.22 -0.061 0.021 0.65 0.03 54841.41 0.04 15.46 0.02 10.44 0.19
2009F 0.013 -13.98 0.22 0.415 0.02 -2.59 0.06 54842.2 0.06 16.69 0.03 10.76 0.16
2009Y 0.009 -9.85 0.22 0.079 0.027 0.38 0.05 54876.16 0.06 13.72 0.04 11.02 0.16
