,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
113,PS16bby,0.05343,8e-05,0.055220000000000005,8e-05,36.8619,0.01991,36.784259999999996,0.11723,10.908,0.0992413,57466.93,0.36,0.16557,0.06261,0.88987,0.24606999999999998
114,PS16bnz,0.0627,0.00021,0.06434,0.00021,37.20819,0.0183,37.089890000000004,0.11675,11.244000000000002,0.0379398,57487.54,0.31,0.03557,0.03048,0.69991,0.24051999999999998
115,PS16ccn,0.02431,0.00016,0.024569999999999998,0.00016,35.0538,0.0464,35.116479999999996,0.11335,8.169,0.05777569999999999,57509.24,0.34,0.03866,0.030719999999999997,-0.28988,0.13915
116,PS16cqa,0.04386,1e-05,0.0454,1e-05,36.42103,0.02392,36.61635,0.14326,11.196,0.033960199999999996,57543.47,0.77,0.42435,0.12485999999999998,2.31299,0.294
117,PS16cvc,0.029539999999999997,9e-05,0.02961,9e-05,35.46728,0.03726,35.58849,0.1146,8.919,0.0823755,57564.77,0.45,0.10873,0.05691,-0.89313,0.16395
118,PS16dnp,0.05127,2.9999999999999997e-05,0.05013,2.9999999999999997e-05,36.643809999999995,0.0217,36.77243,0.1243,8.353,0.0790465,57599.64,0.57,0.13627,0.07447000000000001,-0.59827,0.22721
119,PS16el,0.047810000000000005,1e-05,0.04947,1e-05,36.61398,0.02195,36.53125,0.1189,10.48,0.0333659,57395.01,0.42,0.23913,0.07368,0.32445999999999997,0.18781
120,PS16em,0.06982000000000001,0.00016999999999999999,0.07097,0.00016999999999999999,37.43148,0.01616,37.515609999999995,0.1805,10.399000000000001,0.0366953,57385.92,1.42,0.36143000000000003,0.17884,0.65169,0.31685
121,PS16evk,0.054470000000000005,1e-05,0.05271,1e-05,36.7569,0.0206,36.69927,0.12425,10.308,0.061359500000000004,57696.77,0.64,0.30841999999999997,0.08503,-0.85052,0.26169000000000003
122,PS16fa,0.046110000000000005,1e-05,0.04705,1e-05,36.5012,0.02308,36.60752,0.11575999999999999,10.834000000000001,0.0218181,57400.14,0.41,0.18219000000000002,0.06027999999999999,0.32495999999999997,0.18731
123,PS16fbb,0.0525,0.0001,0.05122,0.0001,36.69226,0.02162,36.73749,0.11442000000000001,9.505,0.0176234,57719.75,0.47,0.0417,0.03321,-0.34426999999999996,0.26324000000000003
124,PS16n,0.05272999999999999,2e-05,0.05321,2e-05,36.7782,0.020419999999999997,36.84649,0.12539,10.39,0.06588939999999999,57391.94,0.44,0.08938,0.0623,-0.24494000000000002,0.23820999999999998
125,PS17akj,0.046810000000000004,1e-05,0.047889999999999995,1e-05,36.54097,0.022680000000000002,36.482859999999995,0.11721,8.978,0.0442696,57799.13,0.35,0.1054,0.05744,-0.88,0.18834
126,PS17bii,0.07339,2e-05,0.07421,2e-05,37.533429999999996,0.01464,37.33376,0.12507000000000001,10.873,0.0661965,57812.12,0.5,0.08224,0.05947,0.84826,0.29756
127,PS17tn,0.0447,1e-05,0.04618,1e-05,36.459270000000004,0.02352,36.37516,0.11525999999999999,10.464,0.0145025,57785.43,0.29,0.24345,0.06368,0.33952,0.18648
128,PSNJ0107203,0.01701,4e-05,0.01736,4e-05,34.28752,0.06274,33.91708,0.10935999999999998,11.043,0.059559400000000005,57352.01,0.19,0.03804,0.0292,2.07311,0.16017
129,PSNJ0153424,0.02565,1e-05,0.02557,1e-05,35.14208,0.04247,35.116240000000005,0.1071,10.651,0.046580300000000005,57394.02,0.22,0.35148,0.060079999999999995,0.45912,0.13085
130,PSNJ0252467,0.028089999999999997,2.9999999999999997e-05,0.028030000000000003,2.9999999999999997e-05,35.3456,0.0388,35.500409999999995,0.10935999999999998,10.842,0.17,57290.45,0.39,0.07806,0.049760000000000006,-0.6182300000000001,0.1566
131,PSNJ0859349,0.02812,1e-05,0.02918,1e-05,35.4348,0.037219999999999996,35.53717,0.11345999999999999,10.65,0.0208491,57098.04,0.51,0.22651999999999997,0.060860000000000004,0.41485,0.18172
132,PSNJ1204051,0.04385,1e-05,0.04539,1e-05,36.42053,0.02392,36.49113,0.1186,10.6,0.027014799999999995,57170.03,0.39,0.15367999999999998,0.06261,-1.12245,0.1808
133,PSNJ1602512,0.02025,0.00013000000000000002,0.0203,0.00013000000000000002,34.63216,0.055260000000000004,34.76052,0.11509000000000001,11.74,0.0145255,57171.73,0.21,0.39695,0.055760000000000004,-0.9452299999999999,0.1513
134,PTSS17-niq,0.06828,1e-05,0.06919,1e-05,37.37356,0.0157,37.299609999999994,0.12902,10.776,0.020456000000000002,57843.18,0.58,0.11964000000000001,0.0672,0.42522,0.26229
